"Scenario","Correct","Timestamp","Datetime","t1_casque","t1_visiere","t1_col","t1_gant_gauche","t1_gant_droit","t2_casque","t2_visiere","t2_veste","t2_col","danger"
"5","1","1626964442",2021-07-22 14:34:02,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","1","1626964457",2021-07-22 14:34:17,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","1","1626964473",2021-07-22 14:34:33,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","1","1626964488",2021-07-22 14:34:48,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","1","1626964504",2021-07-22 14:35:04,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","1","1626964519",2021-07-22 14:35:19,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","1","1626964534",2021-07-22 14:35:34,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","1","1626964550",2021-07-22 14:35:50,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","1","1626964565",2021-07-22 14:36:05,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","1","1626964580",2021-07-22 14:36:20,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","1","1626964596",2021-07-22 14:36:36,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","1","1626964611",2021-07-22 14:36:51,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","1","1626964627",2021-07-22 14:37:07,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","1","1626964642",2021-07-22 14:37:22,NA,NA,NA,NA,NA,"1","0","1","1","0"
"5","1","1626964657",2021-07-22 14:37:37,NA,NA,NA,NA,NA,"1","1","1","1","0"
"5","1","1626964673",2021-07-22 14:37:53,NA,NA,NA,NA,NA,"1","1","1","1","0"
"5","1","1626964921",2021-07-22 14:42:01,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","1","1626964936",2021-07-22 14:42:16,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","1","1626964952",2021-07-22 14:42:32,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","1","1626964967",2021-07-22 14:42:47,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","1","1626964983",2021-07-22 14:43:03,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","0","1626965443",2021-07-22 14:50:43,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","0","1626965459",2021-07-22 14:50:59,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","0","1626965474",2021-07-22 14:51:14,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","0","1626965490",2021-07-22 14:51:30,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","0","1626965505",2021-07-22 14:51:45,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","0","1626965520",2021-07-22 14:52:00,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","0","1626965536",2021-07-22 14:52:16,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","0","1626965551",2021-07-22 14:52:31,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","0","1626965566",2021-07-22 14:52:46,NA,NA,NA,NA,NA,"0","1","1","1","0"
"5","0","1626965582",2021-07-22 14:53:02,NA,NA,NA,NA,NA,"0","0","0","0","1"
"5","0","1626965597",2021-07-22 14:53:17,NA,NA,NA,NA,NA,"0","0","0","0","1"
"5","0","1626965613",2021-07-22 14:53:33,NA,NA,NA,NA,NA,"0","0","0","0","1"
"5","0","1626965628",2021-07-22 14:53:48,NA,NA,NA,NA,NA,"0","0","0","0","1"
"5","0","1626965643",2021-07-22 14:54:03,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","0","1626965659",2021-07-22 14:54:19,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","0","1626965674",2021-07-22 14:54:34,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","0","1626965690",2021-07-22 14:54:50,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","0","1626965705",2021-07-22 14:55:05,NA,NA,NA,NA,NA,"0","0","0","0","0"
